Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,441,19925,AAS,103,Soc Sci Sem,N,,,,,,1520.0,Winter 2005,3,0,,AA,AA 103
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,442,19925,AAS,103,Soc Sci Sem,N,,,,,,1520.0,Winter 2005,2,0,,AA,AA 103
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,352,19925,AAS,103,Soc Sci Sem,N,,,,,,1460.0,Fall 2003,2,0,,AA,AA 103
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,351,19925,AAS,103,Soc Sci Sem,N,,,,,,1460.0,Fall 2003,4,0,,AA,AA 103
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,408,19925,AAS,103,Soc Sci Sem,N,,,,,,1510.0,Fall 2004,4,0,,AA,AA 103
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,308,19925,AAS,103,Soc Sci Sem,N,,,,,,1410.0,Fall 2002,0,0,,AA,AA 103
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,259,4589,AAS,201,Intro Afr-Am Studies,N,,,,,,1320.0,Winter 2001,0,0,,AA,AA 201
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,382,4589,AAS,201,Intro Afr-Am Studies,N,,,,,,1470.0,Winter 2004,2,0,,AA,AA 201
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,443,4589,AAS,201,Intro Afr-Am Studies,N,,,,,,1520.0,Winter 2005,1,0,,AA,AA 201
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,409,4589,AAS,201,Intro Afr-Am Studies,N,,,,,,1510.0,Fall 2004,0,0,,AA,AA 201
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,203,10531,AAS,203,Issues-Devel,N,,,,,,1230.0,Spring 1999,0,0,,AA,AA 203
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,40,38703,AAS,232,African Amer Cinema,N,,,,2001-09-05,2002-04-17,,,0,0,,AA,AA 232
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,27,7887,AAS,247,Modern Africa,N,,,,1998-01-07,2001-04-17,,,0,0,,AA,AA 247
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,353,18151,AAS,322,Intro Env Politics,N,,,,,,1460.0,Fall 2003,0,0,,AA,AA 322
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,241,22190,AAS,332,Environ&Inequality,N,,,,,,1310.0,Fall 2000,0,0,,AA,AA 332
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,410,22190,AAS,332,Environ&Inequality,N,,,,,,1510.0,Fall 2004,0,0,,AA,AA 332
4609,"Historical Race and Ethnicity through Summer 2005 (NO UPDATES TO THIS LIST); Transfer, Test, Other OFF",1997-09-03,A,38,9027,AAS,347,Urban Inequality,N,,,,1998-01-07,2001-12-12,,,0,0,,AA,AA 347
