Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,38,19925,AAS,103,Soc Sci Sem,N,,,,,,1560,Fall 2005,6,0,,AA,AA 103
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,71,19925,AAS,103,Soc Sci Sem,N,,,,,,1610,Fall 2006,0,82,,AA,AA 103
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,46,19925,AAS,103,Soc Sci Sem,N,,,,,,1570,Winter 2006,1,0,,AA,AA 103
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,8,19925,AAS,103,Soc Sci Sem,N,,,,,,1560,Fall 2005,3,0,,AA,AA 103
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,7,19925,AAS,103,Soc Sci Sem,N,,,,,,1560,Fall 2005,1,0,,AA,AA 103
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,44,20806,AAS,104,Hum Seminar,N,,,,,,1570,Winter 2006,1,0,,AA,AA 104
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,10,41048,AAS,305,Hst Modern Caribbean,N,,,,,,1560,Fall 2005,1,0,,AA,AA 305
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,33,11312,AAS,338,Lit Afam Cult,N,,,,,,1560,Fall 2005,1,0,,AA,AA 338
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,80,14987,AAS,358,Black World Studies,N,,,,,,1910,Fall 2012,0,83,,AA,AA 358
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,40,4611,AAS,458,Black World Issues,N,,,,,,1570,Winter 2006,7,0,,AA,AA 458
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,42,14990,AAS,558,Black World Seminar,N,,,,,,1570,Winter 2006,1,0,,AA,AA 558
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,1,19927,AMCULT,100,What is an American?,N,,,,,,1560,Fall 2005,0,0,,AMCUL,AMCUL 100
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,73,17284,AMCULT,205,Amer Cultures,N,,,,,,1660,Fall 2007,0,1,,AMCUL,AMCUL 205
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,34,18526,AMCULT,214,Asian/Pacif Amer St,N,,,,,,1560,Fall 2005,0,0,,AMCUL,AMCUL 214
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,76,21055,AMCULT,313,Cuba&its Diaspora,N,,,,,,1810,Fall 2010,0,0,,AMCUL,AMCUL 313
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,35,21055,AMCULT,313,Cuba&its Diaspora,N,,,,,,1560,Fall 2005,1,0,,AMCUL,AMCUL 313
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,3,21128,AMCULT,319,Empowering Fam&Comm,N,,,,,,1560,Fall 2005,1,0,,AMCUL,AMCUL 319
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,2,40703,AMCULT,378,Violence Wmn Color,N,,,,,,1560,Fall 2005,0,0,,AMCUL,AMCUL 378
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,4,21479,ANTHRCUL,258,Honors Sem Anthro,N,,,,,,1560,Fall 2005,3,0,,ANTHRCU,ANTHRCU 258
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,85,18448,ANTHRCUL,299,Ling Anth,N,,,,,,2230,Spring 2019,0,80,,ANTHRCU,ANTHRCU 299
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,76,21055,ANTHRCUL,314,Cuba&its Diaspora,N,,,,,,1810,Fall 2010,0,0,,ANTHRCU,ANTHRCU 314
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,35,21055,ANTHRCUL,314,Cuba&its Diaspora,N,,,,,,1560,Fall 2005,1,0,,ANTHRCU,ANTHRCU 314
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,45,39009,ARCH,409,Special Topics Arch,N,,,,,,1570,Winter 2006,1,0,,ARC,ARC 409
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,41,7395,ARCH,509,Experimental Course,N,,,,,,1570,Winter 2006,0,1,,ARC,ARC 509
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,58,8019,ASIAN,207,Southeast Asian Civ,N,,,,,,1610,Fall 2006,0,0,,ASIA,ASIA 207
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,14,8019,ASIAN,207,Southeast Asian Civ,N,,,,,,1560,Fall 2005,1,0,,ASIA,ASIA 207
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,56,8019,ASIAN,207,Southeast Asian Civ,N,,,,,,1610,Fall 2006,0,0,,ASIA,ASIA 207
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,5,8019,ASIAN,207,Southeast Asian Civ,N,,,,,,1560,Fall 2005,1,0,,ASIA,ASIA 207
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,6,40962,ASIAN,260,Intro to Chinese Civ,N,,,,,,1560,Fall 2005,1,0,,ASIA,ASIA 260
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,36,40743,ASIAN,308,Arts&Ideas S&SE Asia,N,,,,,,1560,Fall 2005,1,0,,ASIA,ASIA 308
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,47,21284,ASIAN,380,Topic Asia Study,N,,,,,,1570,Winter 2006,0,80,,ASIA,ASIA 380
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,48,21285,ASIAN,492,Topics SSEA,N,,,,,,1570,Winter 2006,0,80,,ASIA,ASIA 492
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,34,18526,ASIANPAM,214,Asian/Pacif Amer St,N,,,,,,1560,Fall 2005,0,0,,ASIANPA,ASIANPA 214
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,65,40859,CLCIV,350,Classical Topics,N,,,,,,1620,Winter 2007,0,0,,CLCI,CLCI 350
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,54,22062,COMM,458,Media Systems Topics,N,,,,,,1570,Winter 2006,4,0,,COM,COM 458
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,53,22062,COMM,458,Media Systems Topics,N,,,,,,1570,Winter 2006,3,0,,COM,COM 458
4620,"Race and Ethnicity--Term Specific (FA05-present); Transfer, Test & Other OFF - Courses on this course list MUST have a specified term attached to them.",1997-09-03,A,59,17308,CSP,105,Read&Wrt Sem,N,,,,,,1610,Fall 2006,0,0,,CS,CS 105
